案号,案由,命中罪名类别,命中关键词,犯罪人的年龄,受教育程度,案件地点,涉案金额_元,案件严重程度,审判时间,罚金金额_元
（2017）豫10刑更37号,走私、贩卖、运输、制造毒品,走私罪,走私,,,河南省,50000.0,,2017-01-25,50000.0
（2017）皖0722执83号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,,,2017-01-16,
（2017）豫1602民初132号,建设工程合同纠纷,危害税收征管罪,税,,,河南省周口市川汇区,12581170.0,,2017-01-27,
（2017）黑0127刑初5号,职务侵占,贪污贿赂罪,职务侵占|贪污|贿赂,,,黑龙江省,,,2017-01-16,
（2016）浙1081刑初1926号,,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,初中,浙江省,410000.0,特别严重,2017-01-13,120000.0
（2016）苏0707民初9981号,民间借贷纠纷,金融诈骗罪,诈骗,,,连云港市赣榆区,4250000.0,,2017-01-15,
（2017）皖0203执27号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,75973.0,,2017-01-15,
（2017）黑11刑更382号,诈骗,金融诈骗罪,诈骗,,初中,黑龙江省,15000.0,,2017-01-16,15000.0
（2016）沪73民终195号,著作权权属、侵权纠纷,侵犯知识产权罪,知识产权|著作权,,,住所地上海市,50.0,,2017-01-06,
（2016）鄂12行初44号,,危害税收征管罪,税,,,湖北省咸宁市,50.0,,2017-01-16,
（2016）沪0117民初16933号,定作合同纠纷,危害税收征管罪,税,,,住所地上海市,106200.0,,2017-01-09,
（2015）川行监字第106号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,四川省,2000.0,,2017-01-10,
（2016）辽07民终1911号,机动车交通事故责任纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地辽宁省,4200.0,,2017-01-16,
（2016）云2801民初2104号,商品房预售合同纠纷,危害税收征管罪,税,,,住址云南省,332000.0,,2017-01-16,
（2016）湘0121民初5033号,买卖合同纠纷,危害税收征管罪,税,,,湖南省长沙县,253245.0,,2017-01-16,
（2017）豫0192刑初15号,非国家工作人员受贿,妨害对公司企业的管理秩序罪|危害税收征管罪|贪污贿赂罪,受贿|税,,高中,户籍地安徽省,200000.0,较轻,2017-01-13,
（2016）黑8108刑初208号,贪污,金融诈骗罪|贪污贿赂罪,诈骗|贪污|贿赂,,,黑龙江省,48522.0,较轻,2017-01-16,30000.0
（2016）沪0107民初23026号,商业贿赂不正当竞争纠纷,贪污贿赂罪,贿赂,,,住所地江苏省,50.0,,2017-01-06,
（2016）鲁15刑终205号,贪污,贪污贿赂罪,贪污,,大专,山东省,30000.0,轻微,2017-01-16,100000.0
（2017）冀0824民初6号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地承德市,23899.0,,2017-01-16,
（2016）沪0104民初32554号,房屋买卖合同纠纷,危害税收征管罪,税,,,上海市徐汇区,2250000.0,,2017-01-06,
（2017）皖0203执15号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,1104647.0,,2017-01-14,
（2017）浙0603执异8号,,危害税收征管罪,税,,,浙江省绍兴市柯桥区,617872.0,,2017-01-14,
（2016）湘1026执351号,,妨害对公司企业的管理秩序罪,债券|股票,,,湖南省,68367.0,,2017-01-16,
（2016）皖0311执104号之三,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省蚌埠市淮上区,1440.0,,2017-01-10,
（2016）津0111执2737号,,危害税收征管罪,税,,,天津市西青区,,,2017-01-14,
（2017）湘1129执异1号,,危害税收征管罪,税,,,湖南省,1198888.0,,2017-01-22,
（2017）新2123刑初1号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,新疆维吾尔自治区,2000.0,,2017-01-13,2000.0
（2017）云2324刑初1号,盗窃,金融诈骗罪,诈骗,,小学,云南省南华县,12000.0,数额较大,2017-01-16,3000.0
（2016）苏0505执异29号,,危害税收征管罪,税,,,住所地江苏省,2600000.0,,2017-01-05,
（2017）黔0102刑初121号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,贵州省,200.0,,2017-01-18,1000.0
（2017）川0821刑初9号,生产、销售假药,生产销售伪劣商品罪,假药,,初中,四川省,1000.0,较轻,2017-01-24,1000.0
（2016）皖0828执596号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,765807.0,,2017-01-19,
（2016）湘1227刑初153号,走私、贩卖、运输、制造毒品,走私罪,走私,,,湖南省,100.0,,2017-01-03,1000.0
（2017）豫0825执110号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,河南省,,,2017-01-15,
（2016）粤0304民初22008号,承揽合同纠纷,走私罪,走私,,,住所地深圳市,1040000.0,严重,2017-01-16,
（2017）川0781执224号,,妨害对公司企业的管理秩序罪,债券|股票,,,四川省,2000.0,,2017-01-22,
（2017）桂1022民初66号,确认合同无效纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地广西田东县,50.0,,2017-01-16,
（2017）粤0304刑初135号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广东省,600.0,,2017-01-24,2000.0
（2017）皖0203执21号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,10740.0,,2017-01-14,
（2017）皖1821执49号,,妨害对公司企业的管理秩序罪,债券|股票,,,户籍地安徽省,14290.0,,2017-01-15,
（2016）吉0191民初02059号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所长春经济技术开发区,300000.0,,2017-01-16,
（2017）浙0122执101号,,妨害对公司企业的管理秩序罪,债券|股票,,,浙江省,35000.0,,2017-01-14,
（2017）皖06执异2号,,金融诈骗罪,诈骗,,,户籍地安徽省,800000.0,,2017-01-11,800000.0
（2017）浙1082民初133号,信用卡纠纷,危害税收征管罪,税,,,住所地临海市,15283.0,,2017-01-16,
（2016）兵0302民初770号,房屋租赁合同纠纷,危害税收征管罪,税,47.0,,住所地图木舒克市,99992.0,,2017-01-06,
（2016）云0114民初435号,商品房销售合同纠纷,危害税收征管罪,税,,,昆明市,118000.0,严重,2017-01-16,
（2016）苏0282民初12094号,民间借贷纠纷,危害税收征管罪,税,,,江苏省,30000.0,,2017-01-04,
（2016）浙09刑终113号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|行贿,,,浙江省舟山市,10200000.0,特别严重,2017-01-04,320000.0
（2016）京0105民初52615号,委托合同纠纷,侵犯知识产权罪,知识产权,,,住所地北京市,,,2017-01-16,
（2015）中一法民二初字第4381号,娱乐服务合同纠纷,危害税收征管罪,税,,,住所地广东省,1564041.0,,2017-01-15,
（2016）川07民终1252号,,危害税收征管罪,税,,中学,四川省绵阳市,90070000.0,,2017-01-16,
（2017）内0602刑初9号,,金融诈骗罪,诈骗,,初中,鄂尔多斯市,7500.0,数额较大,2017-01-13,5000.0
（2016）粤0104民初41932号,著作权权属、侵权纠纷,侵犯知识产权罪,著作权,,,住所地广东省,1150.0,,2017-01-16,
（2016）湘0104民初8271号,商品房预售合同纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪|扰乱市场秩序罪,欺诈|税|虚假广告,,,住所地湖南省,619689.0,,2017-01-16,
（2016）浙0281民初11375号,金融借款合同纠纷,危害税收征管罪,税,,,浙江省余姚市,4000000.0,,2017-01-09,
（2016）冀0826民初3097号,不当得利纠纷,金融诈骗罪,诈骗,,,河北省,,,2017-01-20,
（2016）湘1202民初2337号,确认合同无效纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地怀化市,40000000.0,,2017-01-13,
（2017）辽0782刑初3号,诈骗,金融诈骗罪,诈骗,,初中,辽宁省,32000.0,数额较大,2017-01-17,32000.0
（2017）浙0782刑初189号,保险诈骗,金融诈骗罪,诈骗,,大专,浙江省,30000.0,数额较大,2017-01-16,20000.0
（2017）皖1522执63号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,130000.0,,2017-01-24,
（2016）青0123民初900号,金融借款合同纠纷,危害税收征管罪,税,,,住所地青海省,3680000.0,严重,2017-01-16,
（2016）苏0213刑初173号,,危害税收征管罪,税|虚开增值税|虚开增值税专用发票,,高中,江苏省,282286.0,特别严重,2017-01-16,
（2016）青2801民初1749号,,危害税收征管罪,税,,,青海省,6950000.0,,2017-01-09,
（2016）苏0621民初3802号,民间借贷纠纷,危害税收征管罪,税,,,户籍地海安县,400000.0,,2017-01-09,
（2016）鲁17民终754号,不当得利纠纷,金融诈骗罪,诈骗,,,山东省,200000.0,,2017-01-16,
（2016）粤2071民初12448号,金融借款合同纠纷,危害税收征管罪,税,,,住所地北京市,231910.0,,2017-01-13,
（2017）黔0523刑初10号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,贵州省,,,2017-01-16,2000.0
（2017）川1521刑初8号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|挪用公款|贪污|贿赂,,初中,四川省,25000.0,特别严重,2017-01-19,100000.0
（2016）冀0825民初3118号,,危害税收征管罪,税,,,住所地隆化县,16816.0,,2017-01-13,
（2017）黑06执异3号,,危害税收征管罪,税,,,住所地黑龙江省,120000000.0,,2017-01-16,
（2017）渝0107刑初119号,合同诈骗,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,初中,重庆市,60000.0,数额较大,2017-01-15,30000.0
（2017）川0781执254号,,妨害对公司企业的管理秩序罪|危害税收征管罪,债券|税|股票,,,住所地江油市,30000.0,,2017-01-25,
（2016）粤0113民初9103号,合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,广东省,2850.0,,2017-01-16,
（2016）赣0103刑初863号,诈骗,金融诈骗罪,诈骗,,文盲,江西省,155948.0,数额巨大,2017-01-16,60000.0
（2016）冀0722民初1837号,房屋租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,河北省,70000.0,,2017-01-16,
（2016）苏0612民初4919号,产品责任纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地南通市,900.0,,2017-01-20,
（2016）苏0404民初3693号,定作合同纠纷,危害税收征管罪,税,,,住所地常州市,6250000.0,,2017-01-16,
（2017）云06民特2号,申请撤销仲裁裁决,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,云南省昭通市,14160.0,,2017-01-16,
（2016）皖0104执2518号,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地镇,29877.0,,2017-01-16,
（2016）晋0105刑初967号,非法经营,扰乱市场秩序罪,非法经营,,,山西省,57301.0,情节严重,2017-01-16,5000.0
（2016）内0924执188号之三,,妨害对公司企业的管理秩序罪,债券|股票,,,兴和县,12180.0,,2017-01-23,
（2017）粤0304刑初153号,走私、贩卖、运输、制造毒品,走私罪,走私,,高中,广东省,600.0,,2017-01-23,1000.0
（2017）黑11刑更196号,诈骗,金融诈骗罪,诈骗,,初中,黑龙江省,30000.0,,2017-01-16,30000.0
（2016）浙0304民初4020号,买卖合同纠纷,危害税收征管罪,税,,,浙江省温州市瓯海区,271000.0,,2017-01-16,
（2017）皖05刑终12号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|职务侵占|贪污,,中学,户籍地安徽省,220000.0,较轻,2017-01-16,210000.0
（2017）豫1425刑初16号,诈骗,金融诈骗罪,诈骗,,文盲,河南省,40000.0,数额较大,2017-01-13,20000.0
（2016）甘01民初849号,确认合同无效纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地兰州市,1000000.0,,2017-01-25,
（2016）皖1125刑初269号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|行贿|贿赂,,高中,安徽省定远县,80000.0,情节严重,2017-01-20,160000.0
（2016）鲁0683民初5348号,赡养纠纷,破坏金融管理秩序罪,高利贷,49.0,小学,山东省,70000.0,严重,2017-01-13,
（2016）湘1126刑初694号,,侵犯财产罪,敲诈勒索,,高中,湖南省,80000.0,特别严重,2017-01-05,10000.0
（2016）云2801民初2118号,商品房预售合同纠纷,危害税收征管罪,税,,,住址云南省,624000.0,,2017-01-16,
（2016）豫0725刑初126号,非法拘禁,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,初中,河南省,4110000.0,较轻,2017-01-16,20000.0
（2017）辽06刑更94号,走私、贩卖、运输、制造毒品,走私罪,走私,,,户籍地辽宁省,,,2017-01-24,20000.0
（2016）黑0605民初1487号,机动车交通事故责任纠纷,危害税收征管罪,税,,,黑龙江省大庆市红岗区,22190.0,严重,2017-01-07,
（2017）豫1722刑初17号,诈骗,金融诈骗罪,诈骗,,初中,河南省,30000.0,数额较大,2017-01-16,5000.0
（2017）豫10民终55号,机动车交通事故责任纠纷,妨害对公司企业的管理秩序罪,债券|股票,,,河南省许昌市,50000.0,情节严重,2017-01-10,
（2017）浙0205刑初31号,寻衅滋事,侵犯财产罪,敲诈勒索,,小学,宁波市,20000.0,情节严重,2017-01-19,
（2016）桂1281民初2579号,机动车交通事故责任纠纷,危害税收征管罪,税,,,广西壮族自治区宜州市,134044.0,严重,2017-01-09,
（2017）闽06行初9号,,危害税收征管罪,税,,,住所地漳州市,50.0,,2017-01-16,
（2016）湘0503民初1439号,生命权、健康权、身体权纠纷,贪污贿赂罪,贪污,,,湖南省,3301.0,轻微,2017-01-16,20.0
（2016）豫0306民初604号,房屋买卖合同纠纷,危害税收征管罪,税,,,洛阳市,488000.0,,2017-01-16,
（2016）粤01民终10350号,股权转让纠纷,危害税收征管罪,税,,,住所地广东省,700000.0,严重,2017-01-16,
（2016）京行终5043号,,侵犯知识产权罪,知识产权,,,中华人民共和国北京市,,,2017-01-16,
（2016）鲁0285刑初564号,,扰乱市场秩序罪,非法经营,,初中,山东省,369000.0,情节严重,2017-01-16,10000.0
（2016）豫14刑终307号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|行贿|贪污|贿赂,,中专,河南省,106380.0,情节严重,2017-01-06,200000.0
（2016）京0101民初12007号,民间借贷纠纷,危害税收征管罪,税,,,北京市东城区,4000000.0,,2017-01-10,
（2016）皖0123民初3836号,,危害税收征管罪,税,,,安徽省,131100.0,,2017-01-12,
（2016）甘0802民初3965-2号,确认合同无效纠纷,侵犯知识产权罪,著作权,50.0,,甘肃省,6000.0,,2017-01-16,
（2017）豫17民终87号,居间合同纠纷,危害税收征管罪,税,,,河南省驻马店市,100000.0,,2017-01-23,
（2017）津02民终82号,产品责任纠纷,妨害对公司企业的管理秩序罪,欺诈,,,天津市,35398.0,,2017-01-16,
（2016）浙0281民初11340号,信用卡纠纷,危害税收征管罪,税,,,浙江省余姚市,500000.0,,2017-01-16,
（2016）云29刑初175号,走私、贩卖、运输、制造毒品,走私罪|侵犯财产罪,敲诈勒索|走私,,初中,住址是湖南省,295300.0,,2017-01-04,
（2016）苏01民终9031号,房屋买卖合同纠纷,危害税收征管罪,税,,,江苏省,450000.0,,2017-01-13,
（2016）苏0981民初3628号,金融借款合同纠纷,危害税收征管罪,税,,,住所地东台市,2000000.0,,2017-01-24,
（2016）内0204刑初355号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,内蒙古自治区包头市青山区,4500.0,情节严重,2017-01-16,2000.0
（2016）辽1322民初2888号,物业服务合同纠纷,危害税收征管罪,税,,,建平县,663.0,,2017-01-04,
（2017）闽01刑辖45号,走私、贩卖、运输、制造毒品,走私罪,走私,,,福州市,,,2017-01-16,
（2016）苏01民终8480号,买卖合同纠纷,危害税收征管罪,税,,,住所地在江苏省,86549880000.0,,2017-01-13,
（2017）皖1821执23号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,127000.0,,2017-01-15,
（2016）浙02刑终759号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,浙江省宁波市,10000.0,,2017-01-16,3000.0
（2016）内07民终1197号,建设工程施工合同纠纷,危害税收征管罪,税,,,住所地山东省,3500089.0,,2017-01-09,
（2017）皖0203执28号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,59836.0,,2017-01-15,
（2017）皖1181刑初27号,寻衅滋事,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,小学,安徽省,,情节严重,2017-01-16,23000.0
（2017）黑11刑更168号,诈骗,金融诈骗罪,诈骗,,高中,黑龙江省,50000.0,,2017-01-16,50000.0
（2016）粤7101行初2933号,,危害税收征管罪,税|逃税,,,住所地广州市,9040000.0,,2017-01-16,
（2016）云05刑申3号,,金融诈骗罪,诈骗,,,云南省,,数额巨大,2017-01-04,
（2017）赣01刑更185号,诈骗,金融诈骗罪,诈骗,,,江西省,1000.0,,2017-01-25,1000.0
（2017）黑11刑更23号,,金融诈骗罪,诈骗,,小学,黑龙江省,30000.0,,2017-01-16,30000.0
（2016）苏05民终8597号,劳动合同纠纷,危害税收征管罪,税,,,住所地江苏省,81178.0,,2017-01-11,
（2016）湘0521民初3579号,机动车交通事故责任纠纷,危害税收征管罪,税,,,湖南省,500000.0,,2017-01-16,
（2017）津01刑更12号,抢劫,金融诈骗罪,诈骗,,初中,天津市,20000.0,,2017-01-16,20000.0
（2017）赣01刑更60号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,江西省,20000.0,,2017-01-25,
（2017）辽06刑更112号,走私、贩卖、运输、制造毒品,走私罪,走私,,,辽宁省,,,2017-01-24,40000.0
（2017）赣01刑更284号,诈骗,金融诈骗罪,诈骗,,,江西省,10000.0,,2017-01-25,10000.0
（2016）桂1028民初884号,民间借贷纠纷,金融诈骗罪,诈骗,,,广西壮族自治区,120000.0,,2017-01-16,
（2016）闽0206民初7929号,买卖合同纠纷,危害税收征管罪,税,,,自由贸易试验区,50.0,,2017-01-13,
（2017）沪0109刑初14号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款,,,上海市,70000.0,严重,2017-01-16,30000.0
（2017）赣01刑更09号,走私、贩卖、运输、制造毒品,走私罪,走私,,,江西省,50000.0,,2017-01-25,50000.0
（2016）赣05刑终84号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污|贿赂,,本科,江西省,880000.0,数额巨大,2017-01-16,350000.0
（2016）粤0304民初23471、23472号,民间借贷纠纷,破坏金融管理秩序罪,高利贷,,,住址广东省,100000.0,,2017-01-05,
（2016）湘01民终7592号,商品房预售合同纠纷,危害税收征管罪,税,,,住所地长沙市,390855.0,,2017-01-16,
（2016）陕0723民初1973号,劳务合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,陕西省洋县,850000.0,,2017-01-23,
（2017）赣01刑更226号,,金融诈骗罪,诈骗,,,江西省,75000.0,,2017-01-25,75000.0
（2017）浙0922刑初2号,倒卖车票、船票,金融诈骗罪,诈骗,,文盲,浙江省,4130.0,情节严重,2017-01-11,15000.0
（2016）苏0211民初3063号,租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,户籍地无锡市,58000.0,,2017-01-03,
（2017）粤0511刑初48号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,户籍地福建省,1000.0,情节严重,2017-01-16,1000.0
（2017）豫1322刑初4号,非法经营,扰乱市场秩序罪,非法经营,,初中,河南省,56564.0,情节严重,2017-01-16,50000.0
（2017）黑11刑更84号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,黑龙江省,10000.0,,2017-01-16,10000.0
（2016）京73民终966号,特许经营合同纠纷,破坏金融管理秩序罪|侵犯知识产权罪,知识产权|非法集资,,,住所地北京市,10000.0,严重,2017-01-20,
（2017）皖1623执恢63号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省利辛县,17554.0,,2017-01-16,
（2016）沪0115民初68987号,房屋租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,上海市,2100.0,,2017-01-06,
（2016）浙07刑终1099号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|股票|贿赂,,,浙江省,191468.0,数额巨大,2017-01-16,1220000.0
（2016）苏0206刑初605号,生产、销售假药,生产销售伪劣商品罪,假药,,大专,江苏省,4000.0,特别严重,2017-01-16,40000.0
（2016）内07民终944号,买卖合同纠纷,危害税收征管罪,税,,,住所地内蒙古自治区,2880000.0,严重,2017-01-12,
（2016）鲁17刑终427号,诈骗,妨害对公司企业的管理秩序罪|金融诈骗罪,欺诈|诈骗,,初中,山东省,20000.0,数额巨大,2017-01-19,30000.0
（2016）冀02刑终694号,故意毁坏财物,危害税收征管罪,税,,初中,住址唐山市,37158.0,情节严重,2017-01-11,
（2016）粤1971民初23921号,劳动争议,妨害对公司企业的管理秩序罪,欺诈,,,住所地东莞市,35703.0,,2017-01-16,
（2016）沪02民终9851号,劳动合同纠纷,危害税收征管罪,税,,,户籍地安徽省,92400.0,严重,2017-01-16,
（2017）豫0192刑初14号,行贿,妨害对公司企业的管理秩序罪|危害税收征管罪|贪污贿赂罪,税|行贿|贪污|贿赂,,高中,河南省,100000.0,较轻,2017-01-13,100000.0
（2016）皖1322民初2999号,合同纠纷,危害税收征管罪,税,,高中,住所地安徽省,8000000.0,,2017-01-16,
（2017）浙0102刑初4号,诈骗,金融诈骗罪,诈骗,,小学,杭州市,6000.0,数额较大,2017-01-16,4000.0
（2017）桂0422刑初21号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,广西壮族自治区,700.0,情节严重,2017-01-16,2000.0
（2017）渝0107刑初80号,走私、贩卖、运输、制造毒品,走私罪,走私,,文盲,重庆市,1500.0,,2017-01-23,2000.0
（2017）浙1082民初132号,信用卡纠纷,危害税收征管罪,税,,,住所地临海市,5162.0,,2017-01-16,
（2016）云2801民初2117号,商品房预售合同纠纷,危害税收征管罪,税,,,住址云南省,588000.0,,2017-01-16,
（2016）粤0306刑初7510号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广东省,3800.0,情节严重,2017-01-16,20000.0
（2017）赣01刑更333号,集资诈骗,金融诈骗罪,诈骗,,,江西省,50000.0,,2017-01-25,50000.0
（2015）二中民二初字第580号,凭样品买卖合同纠纷,危害税收征管罪,税,,,住所地天津市,161100.0,,2017-01-16,
（2016）粤0106民初19440号,,生产销售伪劣商品罪|妨害对公司企业的管理秩序罪,伪劣商品|欺诈,,,住所地广州市,5218.0,,2017-01-16,
（2017）闽06行初10号,,危害税收征管罪,税,,,住所地漳州市,50.0,,2017-01-16,
（2017）苏0412刑初2号,持有、使用假币,金融诈骗罪,诈骗,,初中,江苏省,50800.0,数额巨大,2017-01-16,40000.0
（2016）浙0802民初5896号,房屋租赁合同纠纷,危害税收征管罪,税,,,住所地衢州市,3719.0,,2017-01-16,
（2017）桂1026刑初3号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,户籍地广西那坡县,100.0,,2017-01-16,3000.0
（2016）沪0115民初80178号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地上海市,240526.0,严重,2017-01-03,
（2016）苏01民终8551号,买卖合同纠纷,危害税收征管罪,税,,,住所地南京市,2190000.0,,2017-01-12,
（2016）黑01民特319号,申请撤销仲裁裁决,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,住所地黑龙江省,84571.0,,2017-01-16,
（2016）湘0703刑初368号,走私、贩卖、运输、制造毒品,走私罪,走私,43.0,小学,开车接张某某到位于鼎城区,2250.0,情节严重,2017-01-16,5000.0
（2017）鄂09行审1号,,妨害对公司企业的管理秩序罪,欺诈,,,湖北省孝感市,5000.0,严重,2017-01-16,5000.0
（2017）鲁0202刑初16号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,山东省,700.0,,2017-01-16,2000.0
（2016）沪73民初630号,侵害商标权纠纷,侵犯知识产权罪,知识产权,,,住所地美利坚合众国纽约州纽约市,800.0,,2017-01-06,
（2016）京73民辖终1176号,,侵犯知识产权罪,知识产权|著作权,,,住所地深圳市,,,2017-01-17,
（2016）浙0283民初5992号,民间借贷纠纷,危害税收征管罪,税,,,浙江省,30000.0,,2017-01-16,
（2017）湘1125刑初14号,生产、销售假药,生产销售伪劣商品罪,假药,,初中,湖南省,,,2017-01-06,
（2017）赣01刑更237号,,金融诈骗罪,诈骗,,,江西省,2000.0,,2017-01-25,2000.0
（2016）苏1181民初2926号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地镇,500000.0,严重,2017-01-09,
（2016）豫1281民初1178号,不当得利纠纷,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,,河南省,380000.0,,2017-01-16,
（2017）渝0107刑初62号,职务侵占,贪污贿赂罪,职务侵占,,中专,重庆市,200535.0,数额较大,2017-01-20,
（2016）浙0702民初11402号,合同纠纷,危害税收征管罪,税,,,金华市,18903614.0,,2017-01-16,
（2016）沪0115民初72787号,法定继承纠纷,危害税收征管罪|侵犯知识产权罪,税|著作权,,,上海市,2510000.0,,2017-01-10,
（2017）湘1124刑初5号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,湖南省,900.0,情节严重,2017-01-16,3000.0
（2016）粤01民终16241号,房屋买卖合同纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,欺诈|税,,,广东省广州市,50000.0,,2017-01-16,
（2016）皖1204刑初字第91号,,侵犯财产罪|贪污贿赂罪,敲诈勒索|贪污,,初中,安徽省阜阳市颍泉区,130000.0,情节严重,2017-01-24,500.0
（2017）赣0983执26号,,妨害对公司企业的管理秩序罪,股票,,,江西省,36000.0,,2017-01-16,
（2017）鲁16民终1951号,民间借贷纠纷,金融诈骗罪|危害税收征管罪,税|诈骗,,,山东省滨州市,70000000.0,,2017-01-06,
（2016）皖0311执703号,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地安徽省,330000.0,,2017-01-10,
（2016）桂民申2537号,机动车交通事故责任纠纷,妨害对公司企业的管理秩序罪,欺诈,,,广西壮族自治区,10000.0,严重,2017-01-20,
（2016）川0114民初4258号,民间借贷纠纷,危害税收征管罪,税,,,成都市,120000.0,,2017-01-16,
（2016）湘0423刑初150号,非法经营,扰乱市场秩序罪,非法经营,,初中,湖南省,50000.0,情节严重,2017-01-16,20000.0
（2016）赣0725民初885号,合同纠纷,贪污贿赂罪,贿赂,,,江西省,50000.0,,2017-01-19,
（2017）桂0702刑初50号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广西壮族自治区,50.0,情节严重,2017-01-16,3000.0
（2016）苏0723民初3543号,房屋买卖合同纠纷,危害税收征管罪,税,,,江苏省,12120.0,,2017-01-12,
（2016）湘1225民初552号,民间借贷纠纷,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,,湖南省,200000.0,,2017-01-31,
（2016）闽0702刑初469号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,户籍地南平市,15000.0,情节严重,2017-01-16,15000.0
（2016）苏04民初210号,侵害发明专利权纠纷,危害税收征管罪|侵犯知识产权罪,知识产权|税,,,中华人民共和国江苏省常州市,100000.0,较轻,2017-01-25,
（2016）苏0581执725号,,妨害对公司企业的管理秩序罪,股票,,,住所地常熟经济开发区,13800.0,,2017-01-16,
（2016）皖0104执2520号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地镇,27557.0,,2017-01-16,
（2016）粤0113民初9078号,票据纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地广州市,28000.0,,2017-01-16,
（2016）苏0205民初4452号,旅游合同纠纷,危害税收征管罪,税,,,住所地无锡市,36550.0,,2017-01-09,
（2016）赣1130刑初53号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款|非法集资,,研究生,江西省,291680000.0,严重,2017-01-05,400000.0
（2015）安破整字第1-2号,合同、无因管理、不当得利纠纷,危害税收征管罪,税,,,河北省,99271606.0,,2017-01-20,
（2017）辽1282执异3号,,金融诈骗罪|危害税收征管罪,税|诈骗,,,住址开原市,,,2017-01-16,
（2016）苏1323刑初685号,诈骗,金融诈骗罪|扰乱市场秩序罪,虚假广告|诈骗,,初中,江苏省,50580.0,数额较大,2017-01-16,10000.0
（2017）赣01刑更295号,非法经营,扰乱市场秩序罪,非法经营,,,江西省,100000.0,,2017-01-25,100000.0
